id,label,external,entrypoint
0,Lcom/tencent/StubShell/SystemClassLoaderInjector;-><init>()V [access_flags=public constructor] @ 0x1cab0,False,False
1,Ljava/lang/Object;-><init>()V,True,False
2,Lcom/tencent/StubShell/SystemClassLoaderInjector;->appendArray(Ljava/lang/Object; Ljava/lang/Object; Z)Ljava/lang/Object; [access_flags=private static] @ 0x1cac8,False,False
3,Ljava/lang/reflect/Array;->getLength(Ljava/lang/Object;)I,True,False
4,Ljava/lang/Class;->getComponentType()Ljava/lang/Class;,True,False
5,Ljava/lang/reflect/Array;->set(Ljava/lang/Object; I Ljava/lang/Object;)V,True,False
6,Ljava/lang/reflect/Array;->get(Ljava/lang/Object; I)Ljava/lang/Object;,True,False
7,Ljava/lang/Object;->getClass()Ljava/lang/Class;,True,False
8,Ljava/lang/reflect/Array;->newInstance(Ljava/lang/Class; I)Ljava/lang/Object;,True,False
9,Lcom/tencent/StubShell/SystemClassLoaderInjector;->combineArray(Ljava/lang/Object; Ljava/lang/Object; Z)Ljava/lang/Object; [access_flags=private static] @ 0x1cb4c,False,False
10,Lcom/tencent/StubShell/SystemClassLoaderInjector;->fixAndroid(Landroid/content/Context; Landroid/app/Application;)V [access_flags=public static] @ 0x1cbc8,False,False
11,Ljava/lang/StringBuilder;-><init>()V,True,False
12,Landroid/util/Log;->e(Ljava/lang/String; Ljava/lang/String;)I,True,False
13,Lcom/tencent/StubShell/SystemClassLoaderInjector;->getPathList(Ljava/lang/Object;)Ljava/lang/Object; [access_flags=private static] @ 0x1cd50,False,False
14,Ljava/lang/Throwable;->printStackTrace()V,True,False
15,Ljava/lang/StringBuilder;->toString()Ljava/lang/String;,True,False
16,Ljava/lang/StringBuilder;->append(Ljava/lang/String;)Ljava/lang/StringBuilder;,True,False
17,Ljava/lang/StringBuilder;->append(Ljava/lang/Object;)Ljava/lang/StringBuilder;,True,False
18,Lcom/tencent/StubShell/a;->a(Ljava/lang/ClassLoader; Landroid/app/Application;)Ljava/lang/ClassLoader; [access_flags=public static] @ 0x1f99c,False,False
19,Landroid/content/Context;->getClassLoader()Ljava/lang/ClassLoader;,True,False
20,Lcom/tencent/StubShell/SystemClassLoaderInjector;->getField(Ljava/lang/Object; Ljava/lang/Class; Ljava/lang/String;)Ljava/lang/Object; [access_flags=private static] @ 0x1cd24,False,False
21,Ljava/lang/Class;->forName(Ljava/lang/String;)Ljava/lang/Class;,True,False
22,Lcom/tencent/StubShell/SystemClassLoaderInjector;->getDexElements(Ljava/lang/Object;)Ljava/lang/Object; [access_flags=private static] @ 0x1ccfc,False,False
23,Ljava/lang/reflect/Field;->setAccessible(Z)V,True,False
24,Ljava/lang/Class;->getDeclaredField(Ljava/lang/String;)Ljava/lang/reflect/Field;,True,False
25,Ljava/lang/reflect/Field;->get(Ljava/lang/Object;)Ljava/lang/Object;,True,False
26,Lcom/tencent/StubShell/SystemClassLoaderInjector;->hasBaseDexClassLoader()Z [access_flags=private static] @ 0x1cd7c,False,False
27,Lcom/tencent/StubShell/SystemClassLoaderInjector;->inject(Landroid/content/Context; Ljava/lang/String; Ljava/lang/String; Z)V [access_flags=public static] @ 0x1cdb0,False,False
28,Lcom/tencent/StubShell/SystemClassLoaderInjector;->isAliyunOs()Z [access_flags=private static] @ 0x1d1e8,False,False
29,Lcom/tencent/StubShell/SystemClassLoaderInjector;->injectAboveEqualApiLevel14(Landroid/content/Context; Ljava/lang/String; Ljava/lang/String; Z)V [access_flags=private static] @ 0x1ce2c,False,False
30,Lcom/tencent/StubShell/SystemClassLoaderInjector;->injectBelowApiLevel14(Landroid/content/Context; Ljava/lang/String; Ljava/lang/String; Z)V [access_flags=private static] @ 0x1cebc,False,False
31,Lcom/tencent/StubShell/SystemClassLoaderInjector;->injectInAliyunOs(Landroid/content/Context; Ljava/lang/String; Ljava/lang/String; Z)V [access_flags=private static] @ 0x1cfe8,False,False
32,Ljava/io/File;->exists()Z,True,False
33,Ljava/io/File;-><init>(Ljava/lang/String;)V,True,False
34,Ljava/lang/Exception;-><init>(Ljava/lang/Throwable;)V,True,False
35,Ljava/io/File;->getName()Ljava/lang/String;,True,False
36,Landroid/content/Context;->getDir(Ljava/lang/String; I)Ljava/io/File;,True,False
37,Ljava/io/File;->getAbsolutePath()Ljava/lang/String;,True,False
